"#","Step","Data","Exp Result","XPath"
"1","Open website","https://cloud.grid.pub.ro/auth/login/?next=/project/instances/","",""
"2","Click on ""Sign In""","","","//span[normalize-space()='Sign In']"
"3","Enter ""my-root-username"" into ""Username or email""","<my-root-username>","","//input[@id='username']"
"4","Enter ""******"" into ""Password""","******","","//input[@id='password']",
"5","Click on ""login""","","","//input[@id='kc-login']"
"6","Enter ""123456"" into ""One-time code""","123456","","//input[@id='otp']"
"7","Press Enter","",""
"8","Click on ""Instances""","","","//a[normalize-space()='Instances']"
"2","Click on ""Launch Instance""","","","//a[@id='instances__action_launch-ng']","#instances__action_launch-ng"
"3","Enter ""cc_lab_username"" into ""Instance Name""","cc_lab_username","","//input[@id='name']","#name"
"4","Click on ""Source""","","","//li[@class='nav-item ng-scope active']//a[@href='#']"
"5","Click on ""Launch Instance Toggle navigation To""","","","//div[@role='dialog']","div[role='dialog']"
"6","Enter ""CC template"" into ""Click here for filters or full text search.""","CC template","","//hz-dynamic-table[@items='$isAvailableTable ? (ctrl.tableData.available | filterAvailable:trCtrl.allocatedIds) : $sourceItems']//input[@placeholder='Click here for filters or full text search.']"
"7","Click on ""add icon""","","","//tr[@class='ng-scope ng-leave-prepare']//button[@class='btn btn-default fa fa-arrow-up']"
"8","Enter """" into ""Click here for filters or full text search.""","","","//hz-dynamic-table[@class='ng-pristine ng-untouched ng-scope ng-isolate-scope ng-not-empty ng-valid ng-valid-validate-number-min']//input[@placeholder='Click here for filters or full text search.']"
"10","Click on "": Name Nam""","","","//hz-dynamic-table[@name='allocated-flavor']//hz-magic-search-bar[@class='hz-magic-search-bar ng-scope']"
"11","Enter ""g.medium"" into ""Click here for filters or full text search.""","g.medium","","//magic-search[@facets='[{""label"":""Name"",""name"":""name"",""singleton"":true},{""label"":""VCPUs"",""name"":""vcpus"",""singleton"":true},{""label"":""RAM"",""name"":""ram"",""singleton"":true},{""label"":""Public"",""name"":""isPublic"",""singleton"":true,""options"":[{""label"":""No"",""key"":false},{""label"":""Yes"",""key"":true}]}]']//input[@placeholder='Click here for filters or full text search.']"
"12","Click on ""add icon""","","","//tr[@class='ng-scope ng-leave-prepare']//button[@class='btn btn-default fa fa-arrow-up']"
"13","Click on ""Networks""","","","//li[@class='nav-item ng-scope active']//a[@href='#']"
"14","Enter ""vlan9"" into ""Click here for filters or full text search.""","vlan9","","//magic-search[@facets='[{""label"":""Name"",""name"":""name"",""singleton"":true},{""label"":""Shared"",""name"":""shared"",""singleton"":true,""options"":[{""label"":""No"",""key"":false},{""label"":""Yes"",""key"":true}]},{""label"":""Admin State"",""name"":""admin_state"",""singleton"":true,""options"":[{""label"":""Up"",""key"":""UP""},{""label"":""Down"",""key"":""DOWN""}]},{""label"":""Status"",""name"":""status"",""singleton"":true,""options"":[{""label"":""Active"",""key"":""ACTIVE""},{""label"":""Down"",""key"":""DOWN""}]}]']//input[@placeholder='Click here for filters or full text search.']"
"15","Click on ""add icon""","","","//tr[@class='ng-scope ng-leave-prepare']//button[@class='btn btn-default fa fa-arrow-up']"
"16","Click on ""Launch Instance""","","","//span[@class='ng-binding'][normalize-space()='Launch Instance']"